Administration,"Management, maintenance, updates and control of servers, routers, clients and other network components."
Apache,Apache is the most popular Web server software. It enables a computer to host one or more websites that can be accessed over the Internet using a Web browser. 
Audio / Video,Music and Film Production using Logic Pro and Final Cut Pro.
Automation,"Agentless management of installs, deployments and many other tasks that can be automated."
Bash,A command language interpreter that executes commands entered at a command prompt and process text file input.
Blender,"open source 3D creation suite. It supports modeling, rigging, animation, simulation, rendering, compositing and motion tracking, video editing and a 2D animation pipeline."
Cryptocurrency,"A digital record with each transaction linked together in single list called a chain.  Used by cryptocurrencies such as Bitcoin, and many other applications."
Bootstrap,"A CSS framework directed at responsive, mobile-first front-end web development."
C / C++ / Obj-C,A family of programming languages that derive syntax from the original.  C++ and Objective C are supersets of C.
Codeigniter,"An open-source software rapid development web framework, mostly used for building dynamic web sites with PHP."
Command Line,A command-line interface (CLI) processes commands in the form of lines of text.
C Preprocessor,"Macro preprocessor for the C, Objective-C and C++ computer programming languages, allowing header files, macro expansions, conditional compilation, and line control."
CSS,Cascading Style Sheets (CSS) is a style sheet language used for describing the presentation of a document written in a markup language such as HTML.
Cyber Tools,"Cybersecurity tools - penetration testing, packet sniffing, web vulnerabilities and other tools."
Dev Tools,"Programmer tools used to create, debug, maintain, or otherwise support other programs and applications."
Django,"Django is a high-level Python Web framework that enables rapid development and clean design, takeing care of much of the hassle of Web development,"
Editors,"BBEdit, vi, TextMate and other source editors."
HTML,The standard markup language for documents designed to be displayed in a web browser
ImageMagick,"A cross-platform software suite for displaying, creating, converting, modifying, and editing raster images."
iOS,a mobile operating system created and developed by Apple Inc. exclusively for its hardware operating system powering many of the company's mobile devices.
Java,
Javascript,
jQuery,
Linux,
MySQL,
Perl,
Photoshop,
PHP,
Python,
Raspberry,
Ruby,
Security,
Shortcuts,
SQL,
SSL,
Swift,
SwiftUI,
Unreal,
Windows,
Xcode,
